neuron	0	2499	4999	7499	9998
42	current_calc	0.0118832	0.710425	0.690258	0.706288	0.70308
43	current_calc	0.0118881	0.706336	0.699931	0.689508	0.683702
44	current_calc	0.00990887	0.691769	0.688345	0.712959	0.717185
45	current_calc	0.0118855	0.683871	0.701192	0.685756	0.707803
46	current_calc	0.0138697	0.694383	0.692629	0.689298	0.684759
47	current_calc	0.01387	0.70162	0.711595	0.708073	0.704817
48	current_calc	0.00990829	0.691809	0.69642	0.702673	0.693923
49	current_calc	0.00991066	0.695926	0.708707	0.711752	0.707997
50	current_calc	0.0118763	0.693406	0.694199	0.695394	0.701178
51	current_calc	0.0118847	0.710473	0.701571	0.688592	0.698665
52	current_calc	0.00990987	0.700301	0.700825	0.679865	0.692337
53	current_calc	0.00990887	0.718641	0.702908	0.715154	0.709829
54	current_calc	0.0118768	0.689819	0.713308	0.718662	0.704113
55	current_calc	0.0118847	0.682981	0.707239	0.699921	0.692161
56	current_calc	0.0119028	0.690639	0.689977	0.691969	0.68732
57	current_calc	0.0138753	0.697084	0.705476	0.721512	0.699531
58	current_calc	0.0138735	0.700881	0.689151	0.687968	0.709892
59	current_calc	0.0118998	0.696647	0.699398	0.688538	0.682092
60	current_calc	0.0118956	0.688575	0.698007	0.711744	0.707382
61	current_calc	0.00990968	0.687793	0.688234	0.702299	0.703265
62	current_calc	0.0118996	0.695738	0.696159	0.71694	0.710154
63	current_calc	0.0118832	0.69841	0.706072	0.70126	0.69898
64	current_calc	0.011902	0.696695	0.692658	0.689253	0.698705
65	current_calc	0.00990867	0.687743	0.696066	0.700879	0.695944
66	current_calc	0.00990927	0.703666	0.696505	0.702746	0.697293
67	current_calc	0.00990968	0.702459	0.693931	0.691036	0.700199
68	current_calc	0.0118905	0.701147	0.69757	0.683035	0.698763
69	current_calc	0.0118859	0.710719	0.701209	0.697125	0.694548
70	current_calc	0.00991106	0.703525	0.689164	0.706441	0.7057
71	current_calc	0.00990908	0.701262	0.69787	0.696725	0.698104
72	current_calc	0.00990928	0.687391	0.693428	0.700209	0.702063
73	current_calc	0.0158597	0.684367	0.698505	0.70688	0.698348
74	current_calc	0.0118923	0.706019	0.710476	0.68345	0.700459
75	current_calc	0.0118794	0.713125	0.703994	0.68307	0.689292
76	current_calc	0.0138755	0.700944	0.687137	0.695904	0.693111
77	current_calc	0.0118847	0.690027	0.695865	0.691726	0.696602
78	current_calc	0.0138638	0.704545	0.707674	0.707873	0.685502
79	current_calc	0.00990908	0.676893	0.697216	0.703353	0.698002
80	current_calc	0.0119036	0.692889	0.680479	0.702767	0.695174
81	current_calc	0.0118849	0.691823	0.695417	0.720333	0.700572
82	current_calc	0.00990927	0.699591	0.705024	0.697854	0.694802
83	current_calc	0.0118948	0.694805	0.698582	0.701395	0.693707
84	current_calc	0.0138713	0.689702	0.68378	0.705594	0.711869
85	current_calc	0.0158631	0.696782	0.700927	0.683123	0.694252
86	current_calc	0.0118921	0.702135	0.70696	0.689197	0.681953
87	current_calc	0.0158722	0.710328	0.708144	0.683653	0.688481
88	current_calc	0.0118929	0.688423	0.7087	0.713334	0.711997
89	current_calc	0.00990868	0.68758	0.697072	0.7217	0.703724
90	current_calc	0.0118861	0.703144	0.707744	0.697145	0.694385
91	current_calc	0.0118786	0.707551	0.702242	0.696253	0.678504
92	current_calc	0.0158532	0.711608	0.700603	0.690603	0.70127
93	current_calc	0.0118861	0.69945	0.701719	0.711316	0.708001
94	current_calc	0.0118885	0.704864	0.69022	0.679528	0.691739
95	current_calc	0.00990809	0.696108	0.705169	0.70378	0.701043
96	current_calc	0.00990947	0.692711	0.689433	0.709559	0.712618
97	current_calc	0.0118784	0.714417	0.702535	0.708564	0.711633
98	current_calc	0.0119044	0.711377	0.713916	0.70852	0.713069
99	current_calc	0.00991007	0.702397	0.692621	0.696386	0.689206
100	current_calc	0.00990829	0.705161	0.676686	0.706796	0.705837
101	current_calc	0.0138785	0.685337	0.704544	0.692957	0.69743
102	current_calc	0.00990987	0.694733	0.684755	0.67891	0.682707
103	current_calc	0.0099075	0.691365	0.692524	0.704608	0.709227
104	current_calc	0.0138808	0.701529	0.697698	0.720448	0.702356
105	current_calc	0.0118913	0.703003	0.720597	0.711969	0.70928
106	current_calc	0.00990789	0.678393	0.707576	0.709831	0.710449
107	current_calc	0.0118927	0.698815	0.697128	0.71775	0.706127
108	current_calc	0.00991066	0.698622	0.693359	0.704152	0.674307
109	current_calc	0.0118796	0.683449	0.704897	0.707685	0.701715
110	current_calc	0.0138691	0.69269	0.699642	0.697855	0.711056
111	current_calc	0.00991067	0.70102	0.689749	0.726021	0.710107
112	current_calc	0.0118836	0.706479	0.684391	0.710062	0.707609
113	current_calc	0.0119072	0.700941	0.687791	0.722362	0.70345
114	current_calc	0.0099079	0.705366	0.690625	0.710469	0.710381
115	current_calc	0.0119052	0.704446	0.697692	0.691164	0.697911
116	current_calc	0.0119058	0.697558	0.712957	0.695593	0.697857
117	current_calc	0.0118796	0.680392	0.694175	0.713526	0.696854
118	current_calc	0.0118853	0.68829	0.683776	0.72042	0.716502
119	current_calc	0.00990948	0.689923	0.703722	0.712715	0.712941
120	current_calc	0.0138826	0.698618	0.694361	0.704471	0.681897
121	current_calc	0.011898	0.684182	0.70219	0.712485	0.716774
122	current_calc	0.0099073	0.703333	0.69658	0.718578	0.711089
123	current_calc	0.0118942	0.692322	0.690056	0.695127	0.693216
124	current_calc	0.00990908	0.705057	0.700736	0.707585	0.704249
125	current_calc	0.0138947	0.699083	0.704343	0.699536	0.684439
126	current_calc	0.0118836	0.707575	0.698158	0.726044	0.706523
127	current_calc	0.00991126	0.688617	0.710542	0.685545	0.694295
128	current_calc	0.0138826	0.705373	0.698066	0.695835	0.705254
129	current_calc	0.00990867	0.700714	0.697247	0.6897	0.702895
130	current_calc	0.0118831	0.694376	0.71026	0.690404	0.69137
131	current_calc	0.0118875	0.702937	0.703249	0.697015	0.705768
132	current_calc	0.0118816	0.697116	0.693165	0.692889	0.687097
133	current_calc	0.0138922	0.678205	0.691716	0.694884	0.695827
134	current_calc	0.0118851	0.691385	0.699494	0.700393	0.719788
135	current_calc	0.0118845	0.713921	0.713072	0.715355	0.692327
136	current_calc	0.00990829	0.701176	0.679396	0.69437	0.698735
137	current_calc	0.0138798	0.696156	0.691512	0.685746	0.695918
138	current_calc	0.0118784	0.704056	0.690669	0.688111	0.687636
139	current_calc	0.00990829	0.697105	0.711568	0.69943	0.690784
140	current_calc	0.0118929	0.703372	0.684825	0.711145	0.722095
141	current_calc	0.00990968	0.684691	0.708368	0.682321	0.699296
142	current_calc	0.0138801	0.706333	0.702314	0.701333	0.707954
143	current_calc	0.0118786	0.698212	0.695218	0.694779	0.690467
144	current_calc	0.0119024	0.701238	0.700138	0.70508	0.695903
145	current_calc	0.0118974	0.713192	0.698834	0.696912	0.690965
146	current_calc	0.00990947	0.690523	0.699005	0.704661	0.711829
147	current_calc	0.00990907	0.70677	0.695268	0.717583	0.70927
148	current_calc	0.0118998	0.697789	0.694127	0.68092	0.685108
149	current_calc	0.0118784	0.700308	0.687362	0.713808	0.713157
150	current_calc	0.00990888	0.703388	0.692257	0.716448	0.713983
151	current_calc	0.0118786	0.702213	0.692141	0.705916	0.705665
152	current_calc	0.0118982	0.687919	0.698278	0.696538	0.69376
153	current_calc	0.0118984	0.703636	0.693242	0.688831	0.684875
154	current_calc	0.00990888	0.687086	0.694812	0.682113	0.68265
155	current_calc	0.00990927	0.690738	0.696781	0.692434	0.675844
156	current_calc	0.0119066	0.695978	0.68864	0.702657	0.687544
157	current_calc	0.00990829	0.697693	0.69647	0.715136	0.707405
158	current_calc	0.0118841	0.705052	0.701329	0.720169	0.701637
159	current_calc	0.011881	0.692556	0.699166	0.723082	0.717577
160	current_calc	0.0138801	0.706204	0.695196	0.703511	0.704182
161	current_calc	0.0118796	0.693919	0.697683	0.701195	0.693907
162	current_calc	0.00990928	0.687724	0.696412	0.703574	0.69281
163	current_calc	0.0138912	0.689162	0.698457	0.688165	0.693499
164	current_calc	0.0118792	0.697745	0.700448	0.721802	0.699769
165	current_calc	0.0118929	0.691656	0.709857	0.71906	0.707618
166	current_calc	0.0118982	0.706045	0.70875	0.692149	0.689349
167	current_calc	0.0118899	0.688935	0.711991	0.715292	0.709889
168	current_calc	0.0118802	0.697477	0.707558	0.698811	0.694224
169	current_calc	0.00990908	0.706782	0.705762	0.712188	0.719558
170	current_calc	0.0158601	0.701039	0.703394	0.696498	0.690253
171	current_calc	0.0138832	0.684832	0.696716	0.704153	0.696232
172	current_calc	0.0118863	0.700104	0.703363	0.697993	0.696688
173	current_calc	0.0118946	0.711953	0.699855	0.688641	0.697637
174	current_calc	0.00990987	0.710531	0.689533	0.695022	0.690483
175	current_calc	0.00990987	0.696577	0.708054	0.698568	0.696654
176	current_calc	0.011878	0.699491	0.707201	0.718214	0.706724
177	current_calc	0.0118974	0.688588	0.70168	0.710256	0.692693
178	current_calc	0.0118802	0.707003	0.684453	0.712468	0.70781
179	current_calc	0.0119068	0.704857	0.693393	0.709084	0.721324
180	current_calc	0.0119034	0.696071	0.713474	0.696659	0.707137
181	current_calc	0.0118839	0.703342	0.712397	0.712572	0.694115
182	current_calc	0.0118853	0.69751	0.694582	0.706646	0.685143
183	current_calc	0.0138612	0.695933	0.690694	0.717048	0.711781
184	current_calc	0.00991047	0.694477	0.71263	0.717063	0.710352
185	current_calc	0.0138695	0.699824	0.688083	0.701254	0.694262
186	current_calc	0.00990927	0.706127	0.689967	0.717152	0.708367
187	current_calc	0.011897	0.695775	0.704432	0.70286	0.70839
188	current_calc	0.0118861	0.706596	0.697516	0.722529	0.720345
189	current_calc	0.011879	0.707241	0.704049	0.718358	0.704947
190	current_calc	0.0118857	0.703465	0.713426	0.69748	0.690885
191	current_calc	0.0138882	0.700487	0.697538	0.690178	0.696641
192	current_calc	0.0118919	0.693448	0.696249	0.702716	0.70825
193	current_calc	0.0119	0.693645	0.705355	0.709067	0.712652
194	current_calc	0.00990948	0.713354	0.70492	0.704716	0.702947
195	current_calc	0.00990987	0.694818	0.701123	0.705636	0.69706
196	current_calc	0.00990947	0.696867	0.699087	0.704955	0.707808
197	current_calc	0.0158555	0.69699	0.705382	0.708245	0.706521
198	current_calc	0.00990888	0.686576	0.708759	0.689298	0.698969
199	current_calc	0.00991027	0.696829	0.695135	0.717132	0.715163
200	current_calc	0.00990868	0.706144	0.70339	0.697633	0.718062
201	current_calc	0.0138785	0.690668	0.701746	0.71161	0.701634
202	current_calc	0.0118847	0.70706	0.703322	0.703765	0.713953
203	current_calc	0.0118804	0.698582	0.698097	0.704419	0.6873
204	current_calc	0.0118881	0.693585	0.705022	0.692262	0.687512
205	current_calc	0.011883	0.710388	0.697434	0.697719	0.714679
206	current_calc	0.0118851	0.701083	0.687725	0.681536	0.67395
207	current_calc	0.0138678	0.691574	0.696431	0.70388	0.695037
208	current_calc	0.011879	0.704388	0.696862	0.718901	0.710324
209	current_calc	0.0118992	0.702862	0.692379	0.675917	0.693857
210	current_calc	0.00990749	0.699166	0.693807	0.695047	0.685278
211	current_calc	0.0118966	0.69638	0.713419	0.713866	0.729485
212	current_calc	0.00990988	0.69419	0.71321	0.694545	0.685261
213	current_calc	0.0118978	0.697789	0.705033	0.715631	0.714735
214	current_calc	0.0118923	0.689753	0.699151	0.695726	0.698179
215	current_calc	0.00990927	0.700711	0.707339	0.699368	0.704718
216	current_calc	0.0118865	0.708841	0.70332	0.714761	0.716621
217	current_calc	0.00990649	0.702873	0.689731	0.687639	0.688513
218	current_calc	0.00990948	0.692803	0.701729	0.682948	0.684872
219	current_calc	0.0138751	0.707714	0.700704	0.693005	0.683485
220	current_calc	0.0138664	0.694627	0.69311	0.71834	0.709948
221	current_calc	0.0118851	0.694616	0.7039	0.693217	0.690095
222	current_calc	0.0118859	0.7112	0.69785	0.70575	0.712544
223	current_calc	0.0119084	0.690385	0.696598	0.704503	0.713668
224	current_calc	0.0138598	0.698825	0.708861	0.716949	0.703311
225	current_calc	0.00990947	0.702374	0.692243	0.720602	0.702954
226	current_calc	0.0119084	0.696851	0.694882	0.6958	0.691102
227	current_calc	0.00991106	0.695837	0.69911	0.693739	0.693565
228	current_calc	0.0118895	0.697274	0.70747	0.705686	0.710024
229	current_calc	0.0118917	0.694875	0.713043	0.714514	0.702738
230	current_calc	0.0118988	0.686574	0.690013	0.69028	0.691181
231	current_calc	0.00990809	0.707463	0.690132	0.697098	0.696831
232	current_calc	0.0119016	0.705809	0.697696	0.700199	0.69964
233	current_calc	0.0118895	0.691929	0.69501	0.701767	0.689689
234	current_calc	0.0118915	0.695366	0.706516	0.704828	0.715531
235	current_calc	0.00990948	0.704302	0.709743	0.688411	0.685924
236	current_calc	0.0118824	0.709877	0.703251	0.69589	0.690913
237	current_calc	0.0138745	0.707081	0.705198	0.708142	0.702878
238	current_calc	0.0138678	0.688272	0.688382	0.690849	0.686078
239	current_calc	0.0118788	0.688765	0.696971	0.685408	0.692999
240	current_calc	0.0138682	0.697273	0.691772	0.705338	0.682282
241	current_calc	0.0138614	0.702114	0.691574	0.699326	0.691168
242	current_calc	0.00990947	0.70358	0.69954	0.710639	0.717707
243	current_calc	0.0118792	0.700055	0.70152	0.699858	0.697469
244	current_calc	0.011879	0.714166	0.697597	0.707027	0.715706
245	current_calc	0.0118956	0.694759	0.692477	0.704669	0.712309
246	current_calc	0.00990927	0.71247	0.702606	0.701111	0.673182
247	current_calc	0.00990927	0.689161	0.720326	0.700636	0.689129
248	current_calc	0.0118786	0.686834	0.696268	0.712881	0.693755
249	current_calc	0.011895	0.702851	0.704869	0.708449	0.714513
250	current_calc	0.0118786	0.686765	0.699296	0.69129	0.692975
251	current_calc	0.0119014	0.706196	0.698487	0.689992	0.704639
252	current_calc	0.0138692	0.696822	0.699002	0.700606	0.695114
253	current_calc	0.00990868	0.692057	0.69988	0.703626	0.701198
254	current_calc	0.0118915	0.703707	0.704321	0.712768	0.711737
255	current_calc	0.0119014	0.693919	0.711127	0.701531	0.689534
256	current_calc	0.0118976	0.696542	0.705725	0.700153	0.681945
257	current_calc	0.0138698	0.709532	0.691556	0.708421	0.691298
258	current_calc	0.0118798	0.704243	0.699383	0.711404	0.701532
259	current_calc	0.00990947	0.694775	0.689663	0.695302	0.685267
260	current_calc	0.0118992	0.690219	0.705187	0.7181	0.704906
261	current_calc	0.0099079	0.700394	0.689659	0.706776	0.712972
262	current_calc	0.00990789	0.684586	0.70824	0.697847	0.705541
263	current_calc	0.00990948	0.716155	0.703827	0.705538	0.713163
264	current_calc	0.00990928	0.697243	0.709821	0.725825	0.702615
265	current_calc	0.0118867	0.702387	0.711464	0.692147	0.683589
266	current_calc	0.0118934	0.709768	0.696922	0.714589	0.708246
267	current_calc	0.00991007	0.68231	0.701396	0.688361	0.688239
268	current_calc	0.0118996	0.686146	0.70527	0.699024	0.72827
269	current_calc	0.011879	0.701411	0.692213	0.699528	0.688396
270	current_calc	0.0119026	0.68603	0.710024	0.707345	0.713335
271	current_calc	0.00991087	0.693884	0.694979	0.714351	0.712332
272	current_calc	0.00990789	0.695648	0.694132	0.696583	0.697626
273	current_calc	0.011884	0.702371	0.702409	0.710829	0.718534
274	current_calc	0.0138775	0.679153	0.70085	0.683153	0.681733
275	current_calc	0.0118784	0.680938	0.706199	0.705692	0.712195
276	current_calc	0.0138751	0.691904	0.69901	0.723759	0.69826
277	current_calc	0.00990908	0.692942	0.69041	0.709876	0.713994
278	current_calc	0.0138806	0.692098	0.697386	0.711913	0.727503
279	current_calc	0.00990868	0.693802	0.705693	0.697943	0.691279
280	current_calc	0.0118964	0.710289	0.706606	0.720819	0.701719
281	current_calc	0.00990789	0.704378	0.698379	0.693232	0.701112
282	current_calc	0.01188	0.702244	0.696054	0.718856	0.703102
283	current_calc	0.0119024	0.693844	0.70188	0.707814	0.717485
284	current_calc	0.0119032	0.693445	0.715957	0.689916	0.697875
285	current_calc	0.011905	0.699592	0.696301	0.699758	0.700274
286	current_calc	0.0118934	0.682625	0.696229	0.705463	0.70282
287	current_calc	0.00990908	0.705651	0.705412	0.691286	0.691279
288	current_calc	0.0118794	0.691284	0.702736	0.704565	0.705989
289	current_calc	0.011895	0.713114	0.707065	0.710992	0.709926
290	current_calc	0.0119034	0.708467	0.69938	0.693921	0.697383
291	current_calc	0.0118853	0.701515	0.696798	0.724635	0.709796
292	current_calc	0.0118988	0.695137	0.696452	0.703604	0.717548
293	current_calc	0.0118849	0.697061	0.692369	0.723866	0.708417
294	current_calc	0.0119046	0.694249	0.703913	0.681606	0.699436
295	current_calc	0.00991007	0.69696	0.697923	0.71779	0.714199
296	current_calc	0.0118899	0.696847	0.697665	0.685021	0.695092
297	current_calc	0.00990947	0.683391	0.69794	0.718713	0.712239
298	current_calc	0.00991026	0.687919	0.707058	0.717013	0.709204
299	current_calc	0.0118879	0.705006	0.706198	0.686547	0.689764
300	current_calc	0.0118931	0.701449	0.703482	0.710619	0.709867
301	current_calc	0.0118863	0.697815	0.69382	0.7028	0.715843
302	current_calc	0.00990908	0.705729	0.692854	0.704018	0.710217
303	current_calc	0.00990848	0.685183	0.706649	0.708209	0.702328
304	current_calc	0.00990987	0.693955	0.706487	0.721441	0.700959
305	current_calc	0.0118982	0.686436	0.697697	0.697541	0.695439
306	current_calc	0.0118994	0.672531	0.691296	0.705923	0.704243
307	current_calc	0.0118851	0.700972	0.7006	0.68305	0.681841
308	current_calc	0.0118923	0.684307	0.703875	0.70168	0.711266
309	current_calc	0.0118933	0.683034	0.712534	0.697593	0.691922
310	current_calc	0.0118954	0.695924	0.695796	0.720613	0.711962
311	current_calc	0.0158511	0.689233	0.698681	0.69304	0.691777
312	current_calc	0.0118996	0.701446	0.68993	0.711525	0.706225
313	current_calc	0.0138868	0.693211	0.707748	0.694035	0.694137
314	current_calc	0.0118899	0.697459	0.700766	0.696286	0.711118
315	current_calc	0.0138822	0.705667	0.710086	0.693258	0.687184
316	current_calc	0.0118857	0.695923	0.691036	0.706472	0.711809
317	current_calc	0.0138868	0.701931	0.707424	0.718545	0.714341
318	current_calc	0.00990928	0.686189	0.713484	0.695938	0.687883
319	current_calc	0.00991066	0.683839	0.70216	0.703096	0.71232
320	current_calc	0.013881	0.696826	0.69586	0.695818	0.690397
321	current_calc	0.00990789	0.685182	0.68501	0.713177	0.703618
322	current_calc	0.0119026	0.711695	0.704033	0.69589	0.702501
323	current_calc	0.00990927	0.687898	0.702631	0.70475	0.719558
324	current_calc	0.0118822	0.701207	0.698606	0.684676	0.697819
325	current_calc	0.0099073	0.699555	0.70896	0.686178	0.698578
326	current_calc	0.0118933	0.690073	0.699825	0.690854	0.695465
327	current_calc	0.011906	0.70183	0.686619	0.676235	0.688563
328	current_calc	0.00991007	0.693252	0.702121	0.699588	0.713139
329	current_calc	0.00990809	0.686726	0.705389	0.712175	0.715485
330	current_calc	0.0118952	0.701691	0.716126	0.707248	0.710743
331	current_calc	0.0119012	0.696193	0.693394	0.698663	0.703626
332	current_calc	0.0138626	0.705082	0.696858	0.679559	0.689839
333	current_calc	0.00990988	0.692195	0.699417	0.721239	0.715321
334	current_calc	0.011904	0.703806	0.700435	0.696076	0.697761
335	current_calc	0.0118867	0.71387	0.695379	0.697624	0.71297
336	current_calc	0.00990828	0.697015	0.682597	0.698456	0.700827
337	current_calc	0.00990789	0.688524	0.706479	0.704471	0.703745
338	current_calc	0.00990829	0.691909	0.70167	0.688908	0.69122
339	current_calc	0.0118792	0.693178	0.695408	0.689098	0.698715
340	current_calc	0.0118919	0.710044	0.707635	0.689098	0.691832
341	current_calc	0.0138757	0.68821	0.702031	0.709367	0.711966
342	current_calc	0.00990908	0.696649	0.695144	0.691813	0.719367
343	current_calc	0.00990849	0.715535	0.705666	0.705772	0.725977
344	current_calc	0.0118996	0.701913	0.69238	0.70562	0.709572
345	current_calc	0.0119008	0.709067	0.710552	0.690824	0.688364
346	current_calc	0.0118836	0.694059	0.694648	0.676777	0.682979
347	current_calc	0.013888	0.703075	0.695449	0.699506	0.69093
348	current_calc	0.0118988	0.693881	0.713392	0.708554	0.720114
349	current_calc	0.0118996	0.699882	0.699239	0.704302	0.722217
350	current_calc	0.00990789	0.692353	0.703235	0.706154	0.687511
351	current_calc	0.00990868	0.710687	0.693691	0.719016	0.711991
352	current_calc	0.0118982	0.706711	0.710539	0.697378	0.688169
353	current_calc	0.0119032	0.696046	0.700519	0.693722	0.711948
354	current_calc	0.00990948	0.702784	0.70331	0.687069	0.680485
355	current_calc	0.011878	0.684291	0.695434	0.700607	0.709541
356	current_calc	0.0158742	0.691187	0.705072	0.694867	0.695568
357	current_calc	0.0158609	0.696191	0.700287	0.695305	0.694833
358	current_calc	0.00990987	0.693506	0.686654	0.717585	0.700929
359	current_calc	0.0118905	0.705858	0.698007	0.701327	0.701575
360	current_calc	0.00990987	0.72707	0.703208	0.68497	0.683322
361	current_calc	0.0118826	0.703411	0.70772	0.696772	0.693031
362	current_calc	0.00990808	0.702823	0.700492	0.698745	0.701924
363	current_calc	0.00990967	0.701878	0.701922	0.693306	0.688534
364	current_calc	0.0118855	0.691745	0.701867	0.699836	0.690489
365	current_calc	0.00991007	0.711881	0.697051	0.68716	0.693259
366	current_calc	0.0118792	0.695095	0.705217	0.690499	0.684864
367	current_calc	0.0119036	0.705859	0.69061	0.702815	0.678015
368	current_calc	0.0119002	0.699076	0.706411	0.697872	0.667858
369	current_calc	0.0119046	0.703809	0.692435	0.697334	0.691608
370	current_calc	0.0118994	0.682102	0.699771	0.724059	0.709429
371	current_calc	0.0119062	0.71012	0.697798	0.706863	0.706515
372	current_calc	0.0118802	0.69448	0.695265	0.701568	0.71208
373	current_calc	0.0118837	0.695986	0.698778	0.682928	0.686784
374	current_calc	0.0119048	0.699653	0.704782	0.692535	0.72761
375	current_calc	0.0118802	0.682983	0.69828	0.681456	0.686961
376	current_calc	0.0118849	0.711838	0.689507	0.695753	0.691821
377	current_calc	0.00990927	0.710301	0.693757	0.705053	0.70509
378	current_calc	0.00991007	0.701284	0.70125	0.709379	0.710769
379	current_calc	0.00990848	0.706038	0.693716	0.701972	0.700291
380	current_calc	0.0118992	0.691578	0.706583	0.674725	0.692995
381	current_calc	0.013883	0.711092	0.701943	0.699791	0.690858
382	current_calc	0.0138675	0.686087	0.69469	0.68266	0.686546
383	current_calc	0.0118923	0.685683	0.707588	0.695215	0.690471
384	current_calc	0.0119036	0.699651	0.69375	0.713507	0.688911
385	current_calc	0.0138796	0.695756	0.696376	0.68287	0.69895
386	current_calc	0.00990789	0.687959	0.705616	0.685619	0.687418
387	current_calc	0.0138789	0.684186	0.696088	0.708897	0.724112
388	current_calc	0.0119042	0.701645	0.697634	0.702651	0.687926
389	current_calc	0.011895	0.72372	0.710976	0.688141	0.684759
390	current_calc	0.0118927	0.700692	0.71738	0.703552	0.709951
391	current_calc	0.0118871	0.69507	0.682431	0.685365	0.692454
392	current_calc	0.011906	0.689799	0.693038	0.710957	0.69219
393	current_calc	0.00990908	0.704791	0.695579	0.713839	0.730123
394	current_calc	0.0118867	0.700059	0.698859	0.693061	0.694571
395	current_calc	0.0118946	0.695784	0.686782	0.68083	0.707781
396	current_calc	0.00990928	0.700071	0.682048	0.708311	0.709805
397	current_calc	0.00990868	0.68204	0.699276	0.713537	0.730797
398	current_calc	0.0138759	0.696847	0.702761	0.714885	0.701974
399	current_calc	0.011899	0.719273	0.697145	0.70701	0.712068
400	current_calc	0.0118897	0.70273	0.702722	0.708312	0.703334
401	current_calc	0.0118923	0.687643	0.695079	0.715567	0.71649
402	current_calc	0.0118978	0.693366	0.704079	0.685439	0.698152
403	current_calc	0.00990849	0.695064	0.704385	0.688799	0.691322
404	current_calc	0.0138795	0.681387	0.704938	0.713141	0.69685
405	current_calc	0.0138769	0.700282	0.711874	0.68989	0.690931
406	current_calc	0.0138709	0.695983	0.696162	0.721836	0.706056
407	current_calc	0.0138692	0.700844	0.687567	0.685221	0.680637
408	current_calc	0.011908	0.676893	0.700968	0.70067	0.696358
409	current_calc	0.0118849	0.694105	0.684998	0.709962	0.719923
410	current_calc	0.00991047	0.69009	0.701491	0.692973	0.701853
411	current_calc	0.00991027	0.70158	0.702426	0.705266	0.693003
412	current_calc	0.0138872	0.693929	0.707028	0.713264	0.722932
413	current_calc	0.0138894	0.70549	0.702815	0.698587	0.680967
414	current_calc	0.0138935	0.707681	0.698235	0.690833	0.706148
415	current_calc	0.011878	0.688324	0.699597	0.721031	0.698469
416	current_calc	0.013893	0.697536	0.711793	0.696037	0.714985
417	current_calc	0.011899	0.687377	0.69477	0.700927	0.697395
418	current_calc	0.00990987	0.694314	0.700714	0.68956	0.694841
419	current_calc	0.0158536	0.680295	0.693073	0.686396	0.690479
420	current_calc	0.00991027	0.701934	0.701086	0.687863	0.690152
421	current_calc	0.0138714	0.687529	0.709187	0.697859	0.693216
422	current_calc	0.0118841	0.679367	0.684164	0.6867	0.696523
423	current_calc	0.0138741	0.710895	0.674686	0.705441	0.693013
