#step: creations deletions netto
75900: 114 112 2
76000: 111 104 7
76100: 103 95 8
76200: 108 110 -2
76300: 116 99 17
76400: 106 107 -1
76500: 116 111 5
76600: 105 112 -7
76700: 117 113 4
76800: 101 112 -11
76900: 107 88 19
77000: 105 102 3
77100: 109 90 19
77200: 105 109 -4
77300: 112 82 30
77400: 100 99 1
77500: 107 107 0
77600: 108 139 -31
77700: 103 107 -4
77800: 104 106 -2
77900: 97 109 -12
78000: 103 115 -12
78100: 111 110 1
78200: 115 101 14
78300: 110 102 8
78400: 97 102 -5
78500: 105 100 5
78600: 97 103 -6
78700: 111 99 12
78800: 113 109 4
78900: 106 92 14
79000: 100 116 -16
79100: 106 110 -4
79200: 106 106 0
79300: 113 109 4
79400: 104 86 18
79500: 88 75 13
79600: 95 115 -20
79700: 113 121 -8
79800: 112 131 -19
79900: 110 113 -3
80000: 99 105 -6
80100: 118 104 14
80200: 112 100 12
80300: 95 126 -31
80400: 101 108 -7
80500: 111 117 -6
80600: 115 117 -2
80700: 98 94 4
80800: 102 102 0
80900: 109 124 -15
81000: 104 129 -25
81100: 96 100 -4
81200: 114 114 0
81300: 101 126 -25
81400: 111 118 -7
81500: 110 110 0
81600: 97 104 -7
81700: 110 108 2
81800: 105 118 -13
81900: 101 112 -11
82000: 101 124 -23
82100: 108 105 3
82200: 113 116 -3
82300: 113 120 -7
82400: 102 96 6
82500: 104 128 -24
82600: 104 115 -11
82700: 101 113 -12
82800: 108 122 -14
82900: 100 114 -14
83000: 115 120 -5
83100: 99 111 -12
83200: 108 114 -6
83300: 97 106 -9
83400: 82 109 -27
83500: 104 104 0
83600: 106 108 -2
83700: 109 116 -7
83800: 96 93 3
83900: 114 122 -8
84000: 105 114 -9
84100: 109 116 -7
84200: 112 114 -2
84300: 109 132 -23
84400: 120 131 -11
84500: 103 113 -10
84600: 109 112 -3
84700: 107 107 0
84800: 99 103 -4
84900: 110 119 -9
85000: 106 112 -6
85100: 101 129 -28
85200: 111 120 -9
85300: 117 142 -25
85400: 101 105 -4
85500: 102 101 1
85600: 107 149 -42
85700: 108 114 -6
85800: 103 109 -6
85900: 101 102 -1
86000: 102 98 4
86100: 97 108 -11
86200: 90 86 4
86300: 98 106 -8
86400: 97 95 2
86500: 101 117 -16
86600: 104 113 -9
86700: 109 110 -1
86800: 110 122 -12
86900: 115 120 -5
87000: 95 105 -10
87100: 109 98 11
87200: 95 101 -6
87300: 90 111 -21
87400: 105 99 6
87500: 94 125 -31
87600: 114 117 -3
87700: 112 118 -6
87800: 105 107 -2
87900: 95 107 -12
88000: 103 110 -7
88100: 112 117 -5
88200: 113 121 -8
88300: 111 117 -6
88400: 115 104 11
88500: 92 123 -31
88600: 108 112 -4
88700: 105 114 -9
88800: 104 138 -34
88900: 104 123 -19
89000: 115 137 -22
89100: 98 115 -17
89200: 103 108 -5
89300: 101 134 -33
89400: 116 137 -21
89500: 122 155 -33
89600: 105 129 -24
89700: 102 113 -11
89800: 102 112 -10
89900: 89 95 -6
90000: 104 104 0
90100: 102 122 -20
90200: 115 130 -15
90300: 103 120 -17
90400: 100 111 -11
90500: 110 123 -13
90600: 104 124 -20
90700: 110 134 -24
90800: 94 116 -22
90900: 103 123 -20
91000: 109 115 -6
91100: 117 93 24
91200: 94 96 -2
91300: 95 117 -22
91400: 106 145 -39
91500: 108 126 -18
91600: 122 118 4
91700: 102 101 1
91800: 106 99 7
91900: 91 93 -2
92000: 93 102 -9
92100: 112 123 -11
92200: 106 112 -6
92300: 103 122 -19
92400: 107 111 -4
92500: 99 112 -13
92600: 106 127 -21
92700: 107 117 -10
92800: 122 134 -12
92900: 107 125 -18
93000: 120 117 3
93100: 101 94 7
93200: 86 105 -19
93300: 108 106 2
93400: 95 102 -7
93500: 104 103 1
93600: 108 108 0
93700: 101 97 4
93800: 125 121 4
93900: 111 122 -11
94000: 114 105 9
94100: 92 105 -13
94200: 102 99 3
94300: 109 106 3
94400: 114 114 0
94500: 111 105 6
94600: 107 97 10
94700: 110 108 2
94800: 105 94 11
94900: 104 111 -7
95000: 116 94 22
95100: 101 113 -12
95200: 118 128 -10
95300: 127 123 4
95400: 109 129 -20
95500: 109 121 -12
95600: 115 102 13
95700: 118 126 -8
95800: 128 122 6
95900: 118 117 1
96000: 107 115 -8
96100: 102 130 -28
96200: 111 117 -6
96300: 111 127 -16
96400: 116 129 -13
96500: 111 106 5
96600: 117 114 3
96700: 104 124 -20
96800: 97 113 -16
96900: 110 125 -15
97000: 122 112 10
97100: 88 99 -11
97200: 95 110 -15
97300: 111 114 -3
97400: 121 124 -3
97500: 103 113 -10
97600: 110 108 2
97700: 100 121 -21
97800: 104 107 -3
97900: 106 115 -9
98000: 104 105 -1
98100: 99 98 1
98200: 99 111 -12
98300: 115 122 -7
98400: 96 119 -23
98500: 124 131 -7
98600: 101 104 -3
98700: 105 115 -10
98800: 118 124 -6
98900: 106 130 -24
99000: 111 118 -7
99100: 105 113 -8
99200: 112 126 -14
99300: 117 120 -3
99400: 109 111 -2
99500: 130 132 -2
99600: 111 115 -4
99700: 96 99 -3
99800: 107 116 -9
99900: 104 102 2
100000: 93 107 -14
100100: 118 115 3
100200: 120 105 15
100300: 118 107 11
100400: 109 101 8
100500: 105 111 -6
100600: 104 125 -21
100700: 120 128 -8
100800: 117 102 15
100900: 110 113 -3
101000: 106 119 -13
101100: 100 108 -8
101200: 99 109 -10
101300: 108 123 -15
101400: 107 107 0
101500: 92 125 -33
101600: 109 129 -20
101700: 109 129 -20
101800: 111 116 -5
101900: 114 125 -11
102000: 101 101 0
102100: 116 91 25
102200: 88 98 -10
102300: 97 111 -14
102400: 98 101 -3
102500: 121 117 4
102600: 113 99 14
102700: 98 100 -2
102800: 107 89 18
102900: 117 114 3
103000: 104 97 7
103100: 100 114 -14
103200: 94 96 -2
103300: 97 110 -13
103400: 112 117 -5
103500: 112 117 -5
103600: 120 117 3
103700: 95 91 4
103800: 116 112 4
103900: 98 105 -7
104000: 117 107 10
104100: 95 113 -18
104200: 115 112 3
104300: 114 123 -9
104400: 107 86 21
104500: 111 106 5
104600: 117 113 4
104700: 105 113 -8
104800: 121 122 -1
104900: 121 128 -7
105000: 124 133 -9
105100: 112 116 -4
105200: 97 96 1
105300: 104 113 -9
105400: 115 102 13
105500: 102 108 -6
105600: 106 105 1
105700: 105 106 -1
105800: 111 112 -1
105900: 113 108 5
106000: 116 133 -17
106100: 108 104 4
106200: 112 130 -18
106300: 106 111 -5
106400: 99 112 -13
106500: 123 129 -6
106600: 110 135 -25
106700: 123 107 16
106800: 92 119 -27
106900: 103 112 -9
107000: 116 112 4
107100: 113 109 4
107200: 113 107 6
107300: 103 105 -2
107400: 111 111 0
107500: 114 117 -3
107600: 117 124 -7
107700: 124 103 21
107800: 107 92 15
107900: 99 117 -18
108000: 113 115 -2
108100: 106 102 4
108200: 115 94 21
108300: 105 93 12
108400: 106 107 -1
108500: 97 108 -11
108600: 121 112 9
108700: 93 112 -19
108800: 108 94 14
108900: 80 90 -10
109000: 93 107 -14
109100: 107 123 -16
109200: 106 100 6
109300: 98 104 -6
109400: 111 106 5
109500: 102 100 2
109600: 98 97 1
109700: 90 94 -4
109800: 105 106 -1
109900: 118 124 -6
110000: 104 120 -16
110100: 134 111 23
110200: 103 99 4
110300: 115 110 5
110400: 117 107 10
110500: 105 95 10
110600: 106 94 12
110700: 87 90 -3
110800: 104 105 -1
110900: 91 77 14
111000: 103 108 -5
111100: 88 94 -6
111200: 109 119 -10
111300: 100 100 0
111400: 107 101 6
111500: 109 114 -5
111600: 99 89 10
111700: 114 93 21
111800: 100 101 -1
111900: 99 89 10
112000: 115 87 28
112100: 88 90 -2
112200: 80 89 -9
112300: 104 103 1
112400: 100 95 5
112500: 110 105 5
112600: 105 99 6
112700: 106 85 21
112800: 104 99 5
112900: 108 90 18
113000: 108 92 16
113100: 110 103 7
113200: 118 96 22
113300: 116 105 11
113400: 120 90 30
113500: 103 84 19
113600: 105 89 16
113700: 102 80 22
113800: 87 93 -6
113900: 120 88 32
114000: 113 92 21
114100: 101 91 10
114200: 108 103 5
114300: 86 87 -1
114400: 114 88 26
114500: 110 92 18
114600: 119 98 21
114700: 109 86 23
114800: 87 73 14
114900: 99 80 19
115000: 100 78 22
115100: 99 87 12
115200: 112 98 14
115300: 105 83 22
115400: 87 93 -6
115500: 106 98 8
115600: 103 80 23
115700: 93 93 0
115800: 114 94 20
115900: 100 77 23
116000: 105 93 12
116100: 107 74 33
116200: 94 92 2
116300: 89 79 10
116400: 95 91 4
116500: 95 82 13
116600: 96 87 9
116700: 114 102 12
116800: 95 88 7
116900: 110 94 16
117000: 96 101 -5
117100: 109 103 6
117200: 102 83 19
117300: 99 87 12
117400: 110 88 22
117500: 95 105 -10
117600: 96 92 4
117700: 99 94 5
117800: 90 106 -16
117900: 105 97 8
118000: 113 98 15
118100: 97 90 7
118200: 98 91 7
118300: 102 92 10
118400: 102 99 3
118500: 93 82 11
118600: 102 76 26
118700: 100 98 2
118800: 89 84 5
118900: 89 87 2
119000: 94 80 14
119100: 97 96 1
119200: 93 104 -11
119300: 106 83 23
119400: 93 96 -3
119500: 100 97 3
119600: 104 96 8
119700: 99 92 7
119800: 114 105 9
119900: 103 99 4
120000: 100 90 10
120100: 93 98 -5
120200: 116 115 1
120300: 119 100 19
120400: 97 107 -10
120500: 109 104 5
120600: 86 84 2
120700: 116 115 1
120800: 96 105 -9
120900: 109 107 2
121000: 104 95 9
121100: 115 114 1
121200: 96 114 -18
121300: 98 97 1
121400: 102 107 -5
121500: 98 115 -17
121600: 109 103 6
121700: 97 105 -8
121800: 105 105 0
121900: 80 96 -16
122000: 115 106 9
122100: 105 97 8
122200: 90 85 5
122300: 109 95 14
122400: 91 87 4
122500: 105 118 -13
122600: 101 88 13
122700: 101 87 14
122800: 102 99 3
122900: 94 110 -16
123000: 97 104 -7
123100: 91 95 -4
123200: 100 105 -5
123300: 113 99 14
123400: 100 89 11
123500: 86 100 -14
123600: 106 115 -9
123700: 95 86 9
123800: 97 94 3
123900: 95 109 -14
124000: 102 119 -17
124100: 104 114 -10
124200: 112 109 3
124300: 104 106 -2
124400: 80 97 -17
124500: 97 105 -8
124600: 98 116 -18
124700: 88 97 -9
124800: 99 94 5
124900: 94 102 -8
125000: 94 106 -12
125100: 107 98 9
125200: 89 104 -15
125300: 88 102 -14
125400: 106 114 -8
125500: 101 96 5
125600: 107 99 8
125700: 99 103 -4
125800: 95 89 6
125900: 86 105 -19
126000: 112 122 -10
126100: 98 95 3
126200: 98 110 -12
126300: 96 102 -6
126400: 89 104 -15
126500: 93 97 -4
126600: 103 105 -2
126700: 92 102 -10
126800: 96 106 -10
126900: 96 110 -14
127000: 93 86 7
127100: 97 98 -1
127200: 93 93 0
127300: 90 103 -13
127400: 97 103 -6
127500: 86 101 -15
127600: 85 107 -22
127700: 99 108 -9
127800: 95 108 -13
127900: 109 92 17
128000: 109 122 -13
128100: 113 105 8
128200: 79 93 -14
128300: 104 128 -24
128400: 99 116 -17
128500: 95 97 -2
128600: 105 113 -8
128700: 108 125 -17
128800: 104 111 -7
128900: 85 101 -16
129000: 110 99 11
129100: 85 114 -29
129200: 102 105 -3
129300: 97 114 -17
129400: 113 119 -6
129500: 108 117 -9
129600: 109 118 -9
129700: 101 108 -7
129800: 103 115 -12
129900: 101 108 -7
130000: 99 91 8
130100: 93 117 -24
130200: 106 103 3
130300: 89 85 4
130400: 85 109 -24
130500: 86 111 -25
130600: 111 122 -11
130700: 94 122 -28
130800: 99 104 -5
130900: 108 130 -22
131000: 92 122 -30
131100: 88 95 -7
131200: 105 114 -9
131300: 98 100 -2
131400: 92 124 -32
131500: 97 121 -24
131600: 99 104 -5
131700: 121 111 10
131800: 108 105 3
131900: 98 108 -10
132000: 80 106 -26
132100: 92 89 3
132200: 92 101 -9
132300: 99 124 -25
132400: 94 113 -19
132500: 93 114 -21
132600: 97 119 -22
132700: 101 115 -14
132800: 94 108 -14
132900: 86 107 -21
133000: 101 107 -6
133100: 102 106 -4
133200: 99 118 -19
133300: 90 104 -14
133400: 108 113 -5
133500: 116 113 3
133600: 83 109 -26
133700: 92 101 -9
133800: 116 96 20
133900: 89 108 -19
134000: 96 96 0
134100: 94 111 -17
134200: 99 106 -7
134300: 88 100 -12
134400: 82 110 -28
134500: 97 101 -4
134600: 113 108 5
134700: 108 95 13
134800: 90 97 -7
134900: 92 97 -5
135000: 93 106 -13
135100: 84 92 -8
135200: 92 108 -16
135300: 89 101 -12
135400: 81 103 -22
135500: 86 102 -16
135600: 81 90 -9
135700: 95 108 -13
135800: 84 92 -8
135900: 95 105 -10
136000: 104 103 1
136100: 98 112 -14
136200: 109 108 1
136300: 115 119 -4
136400: 97 94 3
136500: 103 97 6
136600: 89 90 -1
136700: 95 102 -7
136800: 97 96 1
136900: 91 96 -5
137000: 86 91 -5
137100: 89 96 -7
137200: 99 111 -12
137300: 100 102 -2
137400: 84 93 -9
137500: 96 98 -2
137600: 93 93 0
137700: 82 98 -16
137800: 96 106 -10
137900: 87 108 -21
138000: 106 109 -3
138100: 103 106 -3
138200: 109 122 -13
138300: 96 113 -17
138400: 88 106 -18
138500: 103 105 -2
138600: 101 110 -9
138700: 77 98 -21
138800: 113 117 -4
138900: 84 103 -19
139000: 86 108 -22
139100: 93 103 -10
139200: 104 109 -5
139300: 98 104 -6
139400: 96 108 -12
139500: 102 101 1
139600: 94 102 -8
139700: 83 101 -18
139800: 92 96 -4
139900: 92 89 3
140000: 83 93 -10
140100: 86 92 -6
140200: 103 107 -4
140300: 93 101 -8
140400: 106 101 5
140500: 89 84 5
140600: 96 98 -2
140700: 93 93 0
140800: 85 101 -16
140900: 84 84 0
141000: 94 97 -3
141100: 102 98 4
141200: 89 88 1
141300: 85 90 -5
141400: 70 90 -20
141500: 93 97 -4
141600: 87 87 0
141700: 83 88 -5
141800: 78 73 5
141900: 92 88 4
142000: 80 84 -4
142100: 87 92 -5
142200: 73 86 -13
142300: 92 93 -1
142400: 97 105 -8
142500: 96 91 5
142600: 89 93 -4
142700: 96 98 -2
142800: 85 69 16
142900: 77 91 -14
143000: 88 91 -3
143100: 93 86 7
143200: 94 95 -1
143300: 111 98 13
143400: 81 101 -20
143500: 88 98 -10
143600: 88 84 4
143700: 78 78 0
143800: 96 90 6
143900: 87 97 -10
144000: 104 93 11
144100: 98 96 2
144200: 81 94 -13
144300: 93 83 10
144400: 74 68 6
144500: 101 89 12
144600: 99 91 8
144700: 78 90 -12
144800: 95 93 2
144900: 90 96 -6
145000: 73 95 -22
145100: 74 80 -6
145200: 88 97 -9
145300: 89 87 2
145400: 79 97 -18
145500: 91 99 -8
145600: 82 83 -1
145700: 103 117 -14
145800: 82 87 -5
145900: 89 111 -22
146000: 96 97 -1
146100: 84 82 2
146200: 100 96 4
146300: 103 89 14
146400: 86 94 -8
146500: 91 76 15
146600: 92 91 1
146700: 90 98 -8
146800: 93 86 7
146900: 87 109 -22
147000: 77 86 -9
147100: 101 96 5
147200: 86 91 -5
147300: 85 83 2
147400: 102 91 11
147500: 109 80 29
147600: 77 96 -19
147700: 100 83 17
147800: 84 92 -8
147900: 89 85 4
148000: 90 93 -3
148100: 82 96 -14
148200: 91 105 -14
148300: 91 69 22
148400: 78 87 -9
148500: 101 96 5
148600: 85 76 9
148700: 103 90 13
148800: 92 85 7
148900: 83 81 2
149000: 93 85 8
149100: 99 90 9
149200: 82 102 -20
149300: 69 82 -13
149400: 92 71 21
149500: 80 83 -3
149600: 87 85 2
149700: 80 92 -12
149800: 87 80 7
149900: 86 91 -5
150000: 104 94 10
150100: 98 83 15
150200: 103 106 -3
150300: 89 77 12
150400: 91 98 -7
150500: 92 105 -13
150600: 91 81 10
150700: 91 86 5
150800: 98 87 11
150900: 94 104 -10
151000: 79 86 -7
151100: 92 89 3
151200: 99 86 13
151300: 89 75 14
151400: 96 104 -8
151500: 82 80 2
151600: 87 86 1
151700: 68 75 -7
151800: 80 82 -2
151900: 85 94 -9
152000: 93 89 4
152100: 92 102 -10
152200: 97 102 -5
152300: 93 84 9
152400: 94 89 5
152500: 86 95 -9
152600: 86 91 -5
152700: 98 87 11
152800: 92 83 9
152900: 72 85 -13
153000: 83 81 2
153100: 86 83 3
153200: 94 87 7
153300: 89 106 -17
153400: 93 88 5
153500: 90 95 -5
153600: 102 118 -16
153700: 92 84 8
153800: 81 88 -7
153900: 59 85 -26
154000: 89 89 0
154100: 73 86 -13
154200: 81 84 -3
154300: 93 95 -2
154400: 81 92 -11
154500: 88 74 14
154600: 93 83 10
154700: 85 91 -6
154800: 81 82 -1
154900: 81 83 -2
155000: 93 97 -4
155100: 86 96 -10
155200: 87 88 -1
155300: 78 70 8
155400: 91 83 8
155500: 90 92 -2
155600: 77 76 1
155700: 80 87 -7
155800: 77 92 -15
155900: 57 72 -15
156000: 78 93 -15
156100: 91 87 4
156200: 96 94 2
156300: 78 68 10
156400: 71 83 -12
156500: 96 88 8
156600: 71 65 6
156700: 87 93 -6
156800: 81 96 -15
156900: 80 78 2
157000: 68 73 -5
157100: 76 90 -14
157200: 96 97 -1
157300: 85 103 -18
157400: 86 92 -6
157500: 85 88 -3
157600: 99 100 -1
157700: 81 94 -13
157800: 99 90 9
157900: 88 81 7
158000: 93 82 11
158100: 88 94 -6
158200: 80 79 1
158300: 76 83 -7
158400: 91 98 -7
158500: 91 94 -3
158600: 81 92 -11
158700: 84 86 -2
158800: 97 80 17
158900: 78 83 -5
159000: 93 88 5
159100: 81 71 10
159200: 94 86 8
159300: 78 99 -21
159400: 84 70 14
159500: 71 88 -17
159600: 98 101 -3
159700: 80 87 -7
159800: 83 80 3
159900: 90 100 -10
160000: 74 77 -3
160100: 85 80 5
160200: 104 107 -3
160300: 93 76 17
160400: 78 91 -13
160500: 82 95 -13
160600: 97 90 7
160700: 79 98 -19
160800: 64 81 -17
160900: 87 85 2
161000: 106 83 23
161100: 96 101 -5
161200: 88 88 0
161300: 102 86 16
161400: 71 80 -9
161500: 86 90 -4
161600: 88 81 7
161700: 88 87 1
161800: 97 94 3
161900: 79 85 -6
162000: 91 94 -3
162100: 97 96 1
162200: 89 81 8
162300: 86 71 15
162400: 73 75 -2
162500: 89 85 4
162600: 78 75 3
162700: 76 85 -9
162800: 82 90 -8
162900: 84 81 3
163000: 90 74 16
163100: 87 85 2
163200: 82 85 -3
163300: 95 89 6
163400: 90 89 1
163500: 85 78 7
163600: 99 74 25
163700: 94 84 10
163800: 91 67 24
163900: 87 89 -2
164000: 90 88 2
164100: 91 78 13
164200: 99 77 22
164300: 79 73 6
164400: 87 75 12
164500: 90 75 15
164600: 84 65 19
164700: 89 87 2
164800: 78 65 13
164900: 62 71 -9
165000: 96 83 13
165100: 88 69 19
165200: 92 85 7
165300: 91 75 16
165400: 79 80 -1
165500: 84 70 14
165600: 96 73 23
165700: 89 83 6
165800: 72 80 -8
165900: 85 82 3
166000: 86 64 22
166100: 112 86 26
166200: 98 78 20
166300: 85 75 10
166400: 85 75 10
166500: 92 89 3
166600: 75 57 18
166700: 84 82 2
166800: 99 79 20
166900: 94 90 4
167000: 82 79 3
167100: 68 72 -4
167200: 86 64 22
167300: 96 61 35
167400: 92 78 14
167500: 72 80 -8
167600: 79 66 13
167700: 77 84 -7
167800: 86 62 24
167900: 85 72 13
168000: 90 70 20
168100: 78 66 12
168200: 92 76 16
168300: 101 85 16
168400: 71 68 3
168500: 77 62 15
168600: 88 84 4
168700: 76 68 8
168800: 81 69 12
168900: 92 66 26
169000: 101 82 19
169100: 73 82 -9
169200: 92 68 24
169300: 92 79 13
169400: 84 70 14
169500: 78 69 9
169600: 87 65 22
169700: 85 89 -4
169800: 104 70 34
169900: 90 77 13
170000: 75 66 9
170100: 72 70 2
170200: 76 71 5
170300: 91 78 13
170400: 85 65 20
170500: 102 82 20
170600: 81 73 8
170700: 85 57 28
170800: 99 78 21
170900: 87 67 20
171000: 90 74 16
171100: 91 77 14
171200: 92 76 16
171300: 91 71 20
171400: 93 76 17
171500: 89 82 7
171600: 88 73 15
171700: 81 60 21
171800: 87 79 8
171900: 91 67 24
172000: 95 76 19
172100: 88 82 6
172200: 85 70 15
172300: 79 85 -6
172400: 92 84 8
172500: 87 82 5
172600: 96 91 5
172700: 91 81 10
172800: 78 85 -7
172900: 81 66 15
173000: 81 79 2
173100: 93 80 13
173200: 67 79 -12
173300: 97 91 6
173400: 105 82 23
173500: 89 82 7
173600: 85 86 -1
173700: 98 92 6
173800: 87 78 9
173900: 92 86 6
174000: 93 69 24
174100: 85 93 -8
174200: 90 61 29
174300: 77 76 1
174400: 101 79 22
174500: 76 77 -1
174600: 93 88 5
174700: 72 66 6
174800: 63 77 -14
174900: 86 79 7
175000: 73 85 -12
175100: 82 89 -7
175200: 76 100 -24
175300: 84 102 -18
175400: 83 99 -16
175500: 84 75 9
175600: 91 83 8
175700: 81 77 4
175800: 89 87 2
175900: 60 89 -29
176000: 81 77 4
176100: 81 87 -6
176200: 84 89 -5
176300: 90 76 14
176400: 74 79 -5
176500: 84 89 -5
176600: 78 97 -19
176700: 71 85 -14
176800: 87 100 -13
176900: 85 96 -11
177000: 107 101 6
177100: 102 101 1
177200: 73 75 -2
177300: 99 97 2
177400: 90 68 22
177500: 102 99 3
177600: 102 99 3
177700: 70 81 -11
177800: 84 91 -7
177900: 73 86 -13
178000: 65 84 -19
178100: 90 104 -14
178200: 87 69 18
178300: 97 96 1
178400: 95 86 9
178500: 93 84 9
178600: 69 80 -11
178700: 82 76 6
178800: 88 86 2
178900: 92 73 19
179000: 84 90 -6
179100: 70 81 -11
179200: 78 85 -7
179300: 99 90 9
179400: 70 74 -4
179500: 75 86 -11
179600: 96 83 13
179700: 76 90 -14
179800: 94 89 5
179900: 71 85 -14
180000: 72 90 -18
180100: 78 96 -18
180200: 82 83 -1
180300: 85 95 -10
180400: 78 79 -1
180500: 95 92 3
180600: 83 66 17
180700: 96 97 -1
180800: 75 88 -13
180900: 90 91 -1
181000: 94 83 11
181100: 101 79 22
181200: 86 95 -9
181300: 86 75 11
181400: 81 74 7
181500: 76 84 -8
181600: 85 93 -8
181700: 78 77 1
181800: 84 80 4
181900: 80 84 -4
182000: 97 87 10
182100: 82 77 5
182200: 89 86 3
182300: 77 68 9
182400: 84 98 -14
182500: 79 91 -12
182600: 79 83 -4
182700: 77 95 -18
182800: 77 69 8
182900: 74 82 -8
183000: 80 78 2
183100: 86 83 3
183200: 71 87 -16
183300: 77 87 -10
183400: 69 90 -21
183500: 94 92 2
183600: 82 76 6
183700: 80 83 -3
